Total number of tokens: 124417
ngram,count,frequency
she would,58,0.04661742366396875
of what,57,0.045813674980107216
so much,57,0.045813674980107216
and as,57,0.045813674980107216
was to,57,0.045813674980107216
a few,57,0.045813674980107216
the other,57,0.045813674980107216
her mother,57,0.045813674980107216
her and,56,0.04500992629624569
at all,56,0.04500992629624569
and that,56,0.04500992629624569
the first,56,0.04500992629624569
soon as,56,0.04500992629624569
as soon,55,0.044206177612384163
there is,55,0.044206177612384163
for a,55,0.044206177612384163
of this,55,0.044206177612384163
as ý,55,0.044206177612384163
might be,54,0.04340242892852263
“ý am,54,0.04340242892852263
am sure,54,0.04340242892852263
into the,54,0.04340242892852263
a little,53,0.0425986802446611
the house,53,0.0425986802446611
she is,53,0.0425986802446611
and then,53,0.0425986802446611
miss bennet,53,0.0425986802446611
to him,52,0.041794931560799574
ý will,52,0.041794931560799574
could be,51,0.04099118287693804
was the,51,0.04099118287693804
to think,51,0.04099118287693804
able to,51,0.04099118287693804
with him,51,0.04099118287693804
mrs gardiner,51,0.04099118287693804
ýt is,51,0.04099118287693804
said she,51,0.04099118287693804
that they,50,0.04018743419307651
and in,50,0.04018743419307651
to give,50,0.04018743419307651
has been,50,0.04018743419307651
his own,50,0.04018743419307651
of them,50,0.04018743419307651
he has,50,0.04018743419307651
ý had,49,0.039383685509214984
the subject,49,0.039383685509214984
a most,49,0.039383685509214984
does not,49,0.039383685509214984
ý can,48,0.03857993682535345
if you,48,0.03857993682535345
and to,48,0.03857993682535345
to know,48,0.03857993682535345
enough to,48,0.03857993682535345
and though,47,0.03777618814149192
but she,47,0.03777618814149192
the evening,47,0.03777618814149192
of him,47,0.03777618814149192
and was,47,0.03777618814149192
ý hope,47,0.03777618814149192
a great,46,0.03697243945763039
if he,46,0.03697243945763039
by her,46,0.03697243945763039
him and,46,0.03697243945763039
on her,46,0.03697243945763039
may be,45,0.03616869077376886
and mrs,45,0.03616869077376886
not have,45,0.03616869077376886
and he,45,0.03616869077376886
on his,45,0.03616869077376886
which she,45,0.03616869077376886
part of,45,0.03616869077376886
to me,45,0.03616869077376886
such an,44,0.03536494208990733
the most,44,0.03536494208990733
as the,44,0.03536494208990733
to a,44,0.03536494208990733
the next,44,0.03536494208990733
me to,44,0.03536494208990733
to do,44,0.03536494208990733
what ý,43,0.0345611934060458
out of,43,0.0345611934060458
it and,43,0.0345611934060458
might have,43,0.0345611934060458
that her,43,0.0345611934060458
but it,42,0.03375744472218427
and when,42,0.03375744472218427
and mr,42,0.03375744472218427
be in,42,0.03375744472218427
said elizabeth,42,0.03375744472218427
when she,42,0.03375744472218427
by his,41,0.03295369603832274
was in,41,0.03295369603832274
from her,41,0.03295369603832274
you know,41,0.03295369603832274
be so,41,0.03295369603832274
to mr,41,0.03295369603832274
which ý,41,0.03295369603832274
not know,40,0.0321499473544612
as well,40,0.0321499473544612
but the,40,0.0321499473544612
as much,40,0.0321499473544612
it to,40,0.0321499473544612
which he,40,0.0321499473544612
at least,40,0.0321499473544612
when the,40,0.0321499473544612
what he,40,0.0321499473544612
was now,39,0.03134619867059968
in my,39,0.03134619867059968
and if,39,0.03134619867059968
are not,39,0.03134619867059968
the two,39,0.03134619867059968
be the,39,0.03134619867059968
him in,39,0.03134619867059968
in which,39,0.03134619867059968
who had,39,0.03134619867059968
said he,38,0.03054244998673815
at her,38,0.03054244998673815
if ý,38,0.03054244998673815
ý know,38,0.03054244998673815
were to,38,0.03054244998673815
was very,38,0.03054244998673815
he could,38,0.03054244998673815
the very,38,0.03054244998673815
sir william,38,0.03054244998673815
be a,37,0.029738701302876615
ý cannot,37,0.029738701302876615
to you,37,0.029738701302876615
what she,37,0.029738701302876615
elizabeth had,37,0.029738701302876615
too much,37,0.029738701302876615
“ý have,37,0.029738701302876615
do you,37,0.029738701302876615
of that,37,0.029738701302876615
to go,37,0.029738701302876615
to elizabeth,37,0.029738701302876615
is very,37,0.029738701302876615
as a,37,0.029738701302876615
to hear,36,0.028934952619015086
and it,36,0.028934952619015086
them to,36,0.028934952619015086
ý could,36,0.028934952619015086
that his,36,0.028934952619015086
and they,36,0.028934952619015086
you may,35,0.028131203935153556
and a,35,0.028131203935153556
the family,35,0.028131203935153556
is the,35,0.028131203935153556
all her,35,0.028131203935153556
they are,35,0.028131203935153556
had never,35,0.028131203935153556
that mr,35,0.028131203935153556
all that,35,0.028131203935153556
should have,35,0.028131203935153556
had no,34,0.027327455251292022
the day,34,0.027327455251292022
young man,34,0.027327455251292022
for his,34,0.027327455251292022
her father,34,0.027327455251292022
must have,34,0.027327455251292022
had a,34,0.027327455251292022
when they,34,0.027327455251292022
she did,34,0.027327455251292022
he would,34,0.027327455251292022
should not,34,0.027327455251292022
no more,34,0.027327455251292022
of being,34,0.027327455251292022
not a,33,0.026523706567430496
but he,33,0.026523706567430496
bennet was,33,0.026523706567430496
ý must,33,0.026523706567430496
to find,33,0.026523706567430496
have no,33,0.026523706567430496
as you,33,0.026523706567430496
the rest,32,0.025719957883568966
of such,32,0.025719957883568966
not been,32,0.025719957883568966
sort of,32,0.025719957883568966
in this,32,0.025719957883568966
any other,32,0.025719957883568966
am not,32,0.025719957883568966
a man,32,0.025719957883568966
much as,32,0.025719957883568966
she felt,32,0.025719957883568966
in love,32,0.025719957883568966
to my,32,0.025719957883568966
have the,31,0.024916209199707433
in such,31,0.024916209199707433
and of,31,0.024916209199707433
with an,31,0.024916209199707433
bingley and,31,0.024916209199707433
at last,31,0.024916209199707433
his wife,31,0.024916209199707433
miss darcy,31,0.024916209199707433
which had,31,0.024916209199707433
a good,31,0.024916209199707433
de bourgh,31,0.024916209199707433
it will,31,0.024916209199707433
had the,31,0.024916209199707433
after a,31,0.024916209199707433
ý dare,31,0.024916209199707433
his friend,30,0.024112460515845903
to speak,30,0.024112460515845903
by a,30,0.024112460515845903
and so,30,0.024112460515845903
have a,30,0.024112460515845903
well as,30,0.024112460515845903
think of,30,0.024112460515845903
her husband,30,0.024112460515845903
it as,30,0.024112460515845903
know that,30,0.024112460515845903
at longbourn,30,0.024112460515845903
ý think,30,0.024112460515845903
the ladies,30,0.024112460515845903
can be,30,0.024112460515845903
them and,30,0.024112460515845903
of its,30,0.024112460515845903
the country,30,0.024112460515845903
have not,29,0.023308711831984377
project gutenbergtm,29,0.023308711831984377
for it,29,0.023308711831984377
mr gardiner,29,0.023308711831984377
mr darcy’s,29,0.023308711831984377
when he,29,0.023308711831984377
any of,29,0.023308711831984377
dare say,29,0.023308711831984377
each other,29,0.023308711831984377
the door,29,0.023308711831984377
and after,28,0.022504963148122847
she saw,28,0.022504963148122847
at length,28,0.022504963148122847
you to,28,0.022504963148122847
of course,28,0.022504963148122847
was so,28,0.022504963148122847
was no,28,0.022504963148122847
for him,28,0.022504963148122847
bingley was,28,0.022504963148122847
in town,28,0.022504963148122847
when ý,28,0.022504963148122847
his sister,28,0.022504963148122847
all his,28,0.022504963148122847
her family,28,0.022504963148122847
with his,28,0.022504963148122847
could have,28,0.022504963148122847
ý believe,28,0.022504963148122847
jane and,28,0.022504963148122847
as it,28,0.022504963148122847
he did,28,0.022504963148122847
what is,28,0.022504963148122847
not the,27,0.021701214464261313
who was,27,0.021701214464261313
ý suppose,27,0.021701214464261313
to miss,27,0.021701214464261313
is to,27,0.021701214464261313
her she,27,0.021701214464261313
by no,27,0.021701214464261313
on this,27,0.021701214464261313
you would,27,0.021701214464261313
to get,27,0.021701214464261313
think it,27,0.021701214464261313
me ý,27,0.021701214464261313
it had,27,0.021701214464261313
ý never,27,0.021701214464261313
my own,27,0.021701214464261313
let me,27,0.021701214464261313
ought to,27,0.021701214464261313
her that,27,0.021701214464261313
that is,27,0.021701214464261313
and you,27,0.021701214464261313
shall be,26,0.020897465780399787
and with,26,0.020897465780399787
you and,26,0.020897465780399787
“my dear,26,0.020897465780399787
to all,26,0.020897465780399787
a young,26,0.020897465780399787
be very,26,0.020897465780399787
if she,26,0.020897465780399787
obliged to,26,0.020897465780399787
with them,26,0.020897465780399787
we are,26,0.020897465780399787
there were,26,0.020897465780399787
the last,26,0.020897465780399787
not think,26,0.020897465780399787
no means,26,0.020897465780399787
opportunity of,26,0.020897465780399787
opinion of,26,0.020897465780399787
were not,26,0.020897465780399787
the young,25,0.020093717096538254
in all,25,0.020093717096538254
about the,25,0.020093717096538254
a moment,25,0.020093717096538254
her with,25,0.020093717096538254
young ladies,25,0.020093717096538254
at netherfield,25,0.020093717096538254
looked at,25,0.020093717096538254
idea of,25,0.020093717096538254
and lydia,25,0.020093717096538254
he should,25,0.020093717096538254
herself and,25,0.020093717096538254
assure you,25,0.020093717096538254
colonel fitzwilliam,25,0.020093717096538254
uncle and,25,0.020093717096538254
she might,25,0.020093717096538254
she will,25,0.020093717096538254
the others,25,0.020093717096538254
of seeing,25,0.020093717096538254
mrs collins,25,0.020093717096538254
all this,25,0.020093717096538254
the present,25,0.020093717096538254
nothing to,25,0.020093717096538254
he will,24,0.019289968412676724
in it,24,0.019289968412676724
again and,24,0.019289968412676724
terms of,24,0.019289968412676724
not in,24,0.019289968412676724
for my,24,0.019289968412676724
this was,24,0.019289968412676724
and all,24,0.019289968412676724
but his,24,0.019289968412676724
make her,24,0.019289968412676724
and at,24,0.019289968412676724
shall not,24,0.019289968412676724
no longer,24,0.019289968412676724
to their,24,0.019289968412676724
colonel forster,24,0.019289968412676724
cannot be,24,0.019289968412676724
with such,24,0.019289968412676724
wish of,24,0.019289968412676724
know what,24,0.019289968412676724
the carriage,24,0.019289968412676724
likely to,24,0.019289968412676724
to longbourn,24,0.019289968412676724
“you are,24,0.019289968412676724
you ý,24,0.019289968412676724
in general,24,0.019289968412676724
began to,24,0.019289968412676724
no one,24,0.019289968412676724
cried elizabeth,24,0.019289968412676724
the letter,24,0.019289968412676724
and aunt,23,0.018486219728815194
her ladyship,23,0.018486219728815194
a word,23,0.018486219728815194
her the,23,0.018486219728815194
she added,23,0.018486219728815194
ý would,23,0.018486219728815194
some time,23,0.018486219728815194
of which,23,0.018486219728815194
the project,23,0.018486219728815194
to your,23,0.018486219728815194
the best,23,0.018486219728815194
wickham and,23,0.018486219728815194
of an,23,0.018486219728815194
“ý do,23,0.018486219728815194
her in,23,0.018486219728815194
came to,23,0.018486219728815194
entered the,23,0.018486219728815194
be of,23,0.018486219728815194
in your,23,0.018486219728815194
spite of,23,0.018486219728815194
he must,23,0.018486219728815194
rest of,23,0.018486219728815194
in their,23,0.018486219728815194
her daughter,23,0.018486219728815194
we shall,23,0.018486219728815194
ý did,22,0.017682471044953664
at pemberley,22,0.017682471044953664
and said,22,0.017682471044953664
“ýt is,22,0.017682471044953664
and had,22,0.017682471044953664
miss lucas,22,0.017682471044953664
her eyes,22,0.017682471044953664
darcy was,22,0.017682471044953664
wish to,22,0.017682471044953664
you do,22,0.017682471044953664
for she,22,0.017682471044953664
was at,22,0.017682471044953664
him but,22,0.017682471044953664
made no,22,0.017682471044953664
to herself,22,0.017682471044953664
the time,22,0.017682471044953664
with all,22,0.017682471044953664
great deal,22,0.017682471044953664
much to,22,0.017682471044953664
seemed to,22,0.017682471044953664
so far,22,0.017682471044953664
going to,22,0.017682471044953664
the latter,22,0.017682471044953664
her uncle,22,0.017682471044953664
behaviour to,22,0.017682471044953664
her brother,21,0.016878722361092134
were all,21,0.016878722361092134
you think,21,0.016878722361092134
glad to,21,0.016878722361092134
her for,21,0.016878722361092134
how much,21,0.016878722361092134
to mrs,21,0.016878722361092134
not so,21,0.016878722361092134
elizabeth could,21,0.016878722361092134
the honour,21,0.016878722361092134
mr collins’s,21,0.016878722361092134
not help,21,0.016878722361092134
want of,21,0.016878722361092134
than she,21,0.016878722361092134
in that,21,0.016878722361092134
we have,21,0.016878722361092134
in every,21,0.016878722361092134
nothing but,21,0.016878722361092134
been so,21,0.016878722361092134
as possible,21,0.016878722361092134
in hertfordshire,21,0.016878722361092134
to take,21,0.016878722361092134
kind of,21,0.016878722361092134
jane was,21,0.016878722361092134
to it,21,0.016878722361092134
when you,21,0.016878722361092134
you were,21,0.016878722361092134
said her,21,0.016878722361092134
sister and,21,0.016878722361092134
he might,21,0.016878722361092134
said mrs,21,0.016878722361092134
say that,21,0.016878722361092134
mr bingley’s,21,0.016878722361092134
“that is,21,0.016878722361092134
a letter,20,0.0160749736772306
acquainted with,20,0.0160749736772306
at his,20,0.0160749736772306
is no,20,0.0160749736772306
of some,20,0.0160749736772306
some of,20,0.0160749736772306
before the,20,0.0160749736772306
to them,20,0.0160749736772306
a woman,20,0.0160749736772306
to come,20,0.0160749736772306
went away,20,0.0160749736772306
my father,20,0.0160749736772306
with some,20,0.0160749736772306
mrs hurst,20,0.0160749736772306
your sister,20,0.0160749736772306
after the,20,0.0160749736772306
a short,20,0.0160749736772306
jane had,20,0.0160749736772306
miss de,20,0.0160749736772306
come to,20,0.0160749736772306
it ý,20,0.0160749736772306
that had,20,0.0160749736772306
so well,20,0.0160749736772306
were in,20,0.0160749736772306
she said,20,0.0160749736772306
to whom,20,0.0160749736772306
the gentlemen,20,0.0160749736772306
bennet had,19,0.015271224993369074
at rosings,19,0.015271224993369074
you had,19,0.015271224993369074
the idea,19,0.015271224993369074
the least,19,0.015271224993369074
but to,19,0.015271224993369074
are you,19,0.015271224993369074
at home,19,0.015271224993369074
very much,19,0.015271224993369074
towards the,19,0.015271224993369074
as her,19,0.015271224993369074
and jane,19,0.015271224993369074
mr and,19,0.015271224993369074
you can,19,0.015271224993369074
and on,19,0.015271224993369074
catherine and,19,0.015271224993369074
elizabeth and,19,0.015271224993369074
convinced that,19,0.015271224993369074
honour of,19,0.015271224993369074
the only,19,0.015271224993369074
and miss,19,0.015271224993369074
with you,19,0.015271224993369074
him he,19,0.015271224993369074
did she,19,0.015271224993369074
endeavour to,19,0.015271224993369074
which the,19,0.015271224993369074
which was,19,0.015271224993369074
they could,19,0.015271224993369074
collins was,19,0.015271224993369074
must not,19,0.015271224993369074
felt that,19,0.015271224993369074
whom he,19,0.015271224993369074
power to,19,0.015271224993369074
in spite,19,0.015271224993369074
there are,19,0.015271224993369074
them all,19,0.015271224993369074
sat down,19,0.015271224993369074
for your,19,0.015271224993369074
had she,19,0.015271224993369074
as if,19,0.015271224993369074
next morning,19,0.015271224993369074
that there,19,0.015271224993369074
him with,19,0.015271224993369074
me that,19,0.015271224993369074
far from,19,0.015271224993369074
as for,18,0.014467476309507543
darcy and,18,0.014467476309507543
be able,18,0.014467476309507543
through the,18,0.014467476309507543
more to,18,0.014467476309507543
but as,18,0.014467476309507543
to leave,18,0.014467476309507543
made her,18,0.014467476309507543
she has,18,0.014467476309507543
make him,18,0.014467476309507543
with me,18,0.014467476309507543
her sister’s,18,0.014467476309507543
time to,18,0.014467476309507543
was soon,18,0.014467476309507543
pleasure of,18,0.014467476309507543
before she,18,0.014467476309507543
on that,18,0.014467476309507543
on my,18,0.014467476309507543
till the,18,0.014467476309507543
to marry,18,0.014467476309507543
be done,18,0.014467476309507543
project gutenberg,18,0.014467476309507543
the way,18,0.014467476309507543
what a,18,0.014467476309507543
him ý,18,0.014467476309507543
very little,18,0.014467476309507543
hope of,18,0.014467476309507543
about it,18,0.014467476309507543
object of,18,0.014467476309507543
him at,18,0.014467476309507543
all and,18,0.014467476309507543
which her,18,0.014467476309507543
the following,18,0.014467476309507543
before he,18,0.014467476309507543
she thought,18,0.014467476309507543
instead of,18,0.014467476309507543
with great,18,0.014467476309507543
can you,18,0.014467476309507543
up the,18,0.014467476309507543
of you,18,0.014467476309507543
before they,18,0.014467476309507543
his character,18,0.014467476309507543
the case,18,0.014467476309507543
her friend,18,0.014467476309507543
for ý,18,0.014467476309507543
thousand pounds,18,0.014467476309507543
man who,18,0.014467476309507543
of any,18,0.014467476309507543
at present,18,0.014467476309507543
in london,18,0.014467476309507543
and their,18,0.014467476309507543
course of,18,0.014467476309507543
of mrs,18,0.014467476309507543
and who,18,0.014467476309507543
to what,18,0.014467476309507543
but elizabeth,18,0.014467476309507543
to jane,18,0.014467476309507543
ý thought,18,0.014467476309507543
love with,17,0.013663727625646011
ý may,17,0.013663727625646011
so very,17,0.013663727625646011
had given,17,0.013663727625646011
was too,17,0.013663727625646011
though she,17,0.013663727625646011
in any,17,0.013663727625646011
the pleasure,17,0.013663727625646011
at first,17,0.013663727625646011
as his,17,0.013663727625646011
go to,17,0.013663727625646011
with mr,17,0.013663727625646011
to any,17,0.013663727625646011
what had,17,0.013663727625646011
sense of,17,0.013663727625646011
than the,17,0.013663727625646011
had seen,17,0.013663727625646011
it in,17,0.013663727625646011
without any,17,0.013663727625646011
lady lucas,17,0.013663727625646011
am afraid,17,0.013663727625646011
replied elizabeth,17,0.013663727625646011
been in,17,0.013663727625646011
had ever,17,0.013663727625646011
him the,17,0.013663727625646011
been a,17,0.013663727625646011
of lady,17,0.013663727625646011
though ý,17,0.013663727625646011
her a,17,0.013663727625646011
a year,17,0.013663727625646011
the truth,17,0.013663727625646011
your own,17,0.013663727625646011
ý knew,17,0.013663727625646011
of having,17,0.013663727625646011
the girls,17,0.013663727625646011
to us,17,0.013663727625646011
the place,17,0.013663727625646011
but when,17,0.013663727625646011
no answer,17,0.013663727625646011
the greatest,17,0.013663727625646011
be sure,17,0.013663727625646011
we were,17,0.013663727625646011
her feelings,17,0.013663727625646011
and from,17,0.013663727625646011
his behaviour,17,0.013663727625646011
the morning,17,0.013663727625646011
bennet and,17,0.013663727625646011
way to,17,0.013663727625646011
same time,17,0.013663727625646011
a week,16,0.012859978941784483
her aunt,16,0.012859978941784483
such as,16,0.012859978941784483
have you,16,0.012859978941784483
in an,16,0.012859978941784483
meant to,16,0.012859978941784483
darcy had,16,0.012859978941784483
her but,16,0.012859978941784483
been the,16,0.012859978941784483
no other,16,0.012859978941784483
reason to,16,0.012859978941784483
the matter,16,0.012859978941784483
the former,16,0.012859978941784483
the neighbourhood,16,0.012859978941784483
for me,16,0.012859978941784483
and even,16,0.012859978941784483
only to,16,0.012859978941784483
young lady,16,0.012859978941784483
means of,16,0.012859978941784483
for you,16,0.012859978941784483
or other,16,0.012859978941784483
appearance of,16,0.012859978941784483
himself to,16,0.012859978941784483
has not,16,0.012859978941784483
her mother’s,16,0.012859978941784483
it must,16,0.012859978941784483
afraid of,16,0.012859978941784483
know how,16,0.012859978941784483
him a,16,0.012859978941784483
from him,16,0.012859978941784483
lady catherine’s,16,0.012859978941784483
a day,16,0.012859978941784483
that your,16,0.012859978941784483
his sisters,16,0.012859978941784483
for such,16,0.012859978941784483
but that,16,0.012859978941784483
her of,16,0.012859978941784483
to receive,16,0.012859978941784483
mrs phillips,16,0.012859978941784483
it with,16,0.012859978941784483
for their,16,0.012859978941784483
to such,16,0.012859978941784483
is nothing,16,0.012859978941784483
soon afterwards,16,0.012859978941784483
and there,16,0.012859978941784483
of both,16,0.012859978941784483
were the,16,0.012859978941784483
tell you,16,0.012859978941784483
at a,16,0.012859978941784483
saw him,16,0.012859978941784483
ýf you,16,0.012859978941784483
where she,16,0.012859978941784483
told her,15,0.012056230257922951
was impossible,15,0.012056230257922951
and not,15,0.012056230257922951
she should,15,0.012056230257922951
forced to,15,0.012056230257922951
but in,15,0.012056230257922951
more of,15,0.012056230257922951
never be,15,0.012056230257922951
though he,15,0.012056230257922951
not but,15,0.012056230257922951
from a,15,0.012056230257922951
was all,15,0.012056230257922951
or the,15,0.012056230257922951
well ý,15,0.012056230257922951
ý assure,15,0.012056230257922951
and my,15,0.012056230257922951
from mr,15,0.012056230257922951
miss bingley’s,15,0.012056230257922951
a more,15,0.012056230257922951
of those,15,0.012056230257922951
them in,15,0.012056230257922951
the work,15,0.012056230257922951
collins and,15,0.012056230257922951
was as,15,0.012056230257922951
was only,15,0.012056230257922951
from what,15,0.012056230257922951
on to,15,0.012056230257922951
whole of,15,0.012056230257922951
on which,15,0.012056230257922951
was over,15,0.012056230257922951
ill of,15,0.012056230257922951
degree of,15,0.012056230257922951
from his,15,0.012056230257922951
capable of,15,0.012056230257922951
him she,15,0.012056230257922951
house and,15,0.012056230257922951
thought it,15,0.012056230257922951
see her,15,0.012056230257922951
of me,15,0.012056230257922951
but there,15,0.012056230257922951
man of,15,0.012056230257922951
much more,15,0.012056230257922951
could she,15,0.012056230257922951
to join,15,0.012056230257922951
the officers,15,0.012056230257922951
her at,15,0.012056230257922951
her as,15,0.012056230257922951
all my,15,0.012056230257922951
conversation with,15,0.012056230257922951
me and,15,0.012056230257922951
she then,15,0.012056230257922951
that was,15,0.012056230257922951
fond of,15,0.012056230257922951
to tell,15,0.012056230257922951
a family,15,0.012056230257922951
him from,15,0.012056230257922951
talked of,15,0.012056230257922951
point of,15,0.012056230257922951
that my,15,0.012056230257922951
her being,15,0.012056230257922951
that their,15,0.012056230257922951
they should,15,0.012056230257922951
as this,15,0.012056230257922951
is all,15,0.012056230257922951
over the,15,0.012056230257922951
account of,15,0.012056230257922951
nothing of,15,0.012056230257922951
this is,15,0.012056230257922951
soon after,15,0.012056230257922951
so many,14,0.011252481574061423
whole party,14,0.011252481574061423
a fortnight,14,0.011252481574061423
not you,14,0.011252481574061423
“this is,14,0.011252481574061423
was quite,14,0.011252481574061423
had heard,14,0.011252481574061423
pride and,14,0.011252481574061423
and therefore,14,0.011252481574061423
coming to,14,0.011252481574061423
would never,14,0.011252481574061423
assured her,14,0.011252481574061423
is so,14,0.011252481574061423
to meet,14,0.011252481574061423
have heard,14,0.011252481574061423
in meryton,14,0.011252481574061423
being in,14,0.011252481574061423
of miss,14,0.011252481574061423
your father,14,0.011252481574061423
to town,14,0.011252481574061423
give you,14,0.011252481574061423
pleasure in,14,0.011252481574061423
very good,14,0.011252481574061423
the drawingroom,14,0.011252481574061423
or any,14,0.011252481574061423
whom she,14,0.011252481574061423
to this,14,0.011252481574061423
certain that,14,0.011252481574061423
ý might,14,0.011252481574061423
to believe,14,0.011252481574061423
to look,14,0.011252481574061423
had always,14,0.011252481574061423
of each,14,0.011252481574061423
he replied,14,0.011252481574061423
down to,14,0.011252481574061423
they will,14,0.011252481574061423
the man,14,0.011252481574061423
him of,14,0.011252481574061423
see him,14,0.011252481574061423
it not,14,0.011252481574061423
knowledge of,14,0.011252481574061423
of us,14,0.011252481574061423
catherine de,14,0.011252481574061423
their father,14,0.011252481574061423
“and ý,14,0.011252481574061423
mother and,14,0.011252481574061423
end of,14,0.011252481574061423
at such,14,0.011252481574061423
or three,14,0.011252481574061423
not make,14,0.011252481574061423
that a,14,0.011252481574061423
the business,14,0.011252481574061423
to talk,14,0.011252481574061423
every thing,14,0.011252481574061423
to accept,14,0.011252481574061423
the course,14,0.011252481574061423
had any,14,0.011252481574061423
tell me,14,0.011252481574061423
the good,14,0.011252481574061423
sure ý,14,0.011252481574061423
manner of,14,0.011252481574061423
unable to,14,0.011252481574061423
who could,14,0.011252481574061423
that in,14,0.011252481574061423
need not,14,0.011252481574061423
of happiness,14,0.011252481574061423
of every,14,0.011252481574061423
her spirits,14,0.011252481574061423
be married,14,0.011252481574061423
affection for,14,0.011252481574061423
have had,14,0.011252481574061423
up stairs,14,0.011252481574061423
give me,14,0.011252481574061423
and for,13,0.010448732890199893
answer and,13,0.010448732890199893
he said,13,0.010448732890199893
to understand,13,0.010448732890199893
she must,13,0.010448732890199893
up to,13,0.010448732890199893
in so,13,0.010448732890199893
her heart,13,0.010448732890199893
them with,13,0.010448732890199893
you should,13,0.010448732890199893
said in,13,0.010448732890199893
said mr,13,0.010448732890199893
gone to,13,0.010448732890199893
not at,13,0.010448732890199893
depend upon,13,0.010448732890199893
and kitty,13,0.010448732890199893
the person,13,0.010448732890199893
his being,13,0.010448732890199893
it could,13,0.010448732890199893
or two,13,0.010448732890199893
ýn the,13,0.010448732890199893
me in,13,0.010448732890199893
but her,13,0.010448732890199893
by mr,13,0.010448732890199893
his affection,13,0.010448732890199893
said miss,13,0.010448732890199893
and by,13,0.010448732890199893
a manner,13,0.010448732890199893
to ask,13,0.010448732890199893
right to,13,0.010448732890199893
them at,13,0.010448732890199893
is that,13,0.010448732890199893
the match,13,0.010448732890199893
want to,13,0.010448732890199893
next day,13,0.010448732890199893
ý wish,13,0.010448732890199893
hope you,13,0.010448732890199893
was then,13,0.010448732890199893
subject of,13,0.010448732890199893
she found,13,0.010448732890199893
he came,13,0.010448732890199893
to which,13,0.010448732890199893
two or,13,0.010448732890199893
elizabeth felt,13,0.010448732890199893
day before,13,0.010448732890199893
dear lizzy,13,0.010448732890199893
her daughters,13,0.010448732890199893
are all,13,0.010448732890199893
